,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,power_generated,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,wind,8,9,10,11,12,13,14,15,16,17,Clear,Foggy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Humid
10530,0.0,26.66,26,1,19.57,354.0,1.8,1.94,1005.73,1.0,285.8,0.0,0.0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10531,0.0,29.36,28,1,19.66,351.0,2.08,2.08,1006.17,2.0,286.5,0.0,0.0,6.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10532,0.0,31.52,30,1,19.6,340.0,2.37,2.56,1006.45,5.0,286.6,0.0,0.0,9.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10533,0.0,33.81,32,0,19.53,325.0,2.63,3.85,1006.57,8.0,286.2,0.0,0.0,12.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10534,0.0,35.6,34,0,19.13,310.0,3.01,5.57,1006.58,11.0,284.9,0.0,0.0,13.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10535,0.0,36.6,35,0,18.35,303.0,3.53,6.71,1006.17,12.0,283.9,0.0,0.0,14.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10536,0.0,37.15,36,0,17.12,302.0,4.09,7.29,1005.3,12.0,283.6,0.0,0.0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10537,0.0,37.42,37,0,15.74,303.0,4.65,7.6,1004.32,10.0,283.6,0.0,0.0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10538,0.0,37.64,38,0,14.56,304.0,5.06,7.76,1003.4,8.0,283.7,0.0,0.0,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10539,0.0,37.93,38,0,13.48,303.0,5.25,7.77,1002.61,5.0,283.9,0.0,0.0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10540,0.0,37.58,38,0,12.58,309.0,4.86,6.65,1002.43,2.0,282.5,0.0,0.0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10554,0.0,29.26,29,1,17.46,39.0,0.96,1.28,1003.6,1.0,291.6,0.0,0.0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
